Site,MAP,GDGT-0,GDGT-1',isoGDGT-1,isoGDGT-2',isoGDGT-2,isoGDGT-3',isoGDGT-3,isoGDGT-4,Crenarchaeol,Cren',brGDGT Ia,brGDGT Ib,brGDGT Ic,brGDGT IIa ,brGDGT IIa',brGDGT IIb,brGDGT IIb',brGDGT IIc,brGDGT IIc',brGDGT IIIa,brGDGT IIIa',brGDGT IIIb,brGDGT IIIb',brGDGT IIIc,brGDGT IIIc'
site_1,1665,0.0067,0.0005,0.0029,0.0014,0.0029,0.0003,0.0010,0.0061,0.0083,0.0011,0.8106,0.0088,0.0060,0.1136,0.0261,0.0000,0.0000,0.0000,0.0000,0.0032,0.0008,0.0000,0.0000,0.0000,0.0000
site_2,1665,0.0057,0.0005,0.0030,0.0031,0.0040,0.0006,0.0016,0.0127,0.0208,0.0027,0.7850,0.0130,0.0082,0.0942,0.0414,0.0000,0.0000,0.0000,0.0000,0.0024,0.0009,0.0000,0.0000,0.0000,0.0000
site_3,1665,0.0048,0.0004,0.0032,0.0027,0.0050,0.0008,0.0019,0.0079,0.0128,0.0035,0.8246,0.0075,0.0074,0.0857,0.0275,0.0000,0.0000,0.0000,0.0000,0.0035,0.0009,0.0000,0.0000,0.0000,0.0000
site_4,1647,0.0258,0.0018,0.0181,0.0026,0.0204,0.0009,0.0036,0.0130,0.0163,0.0021,0.7444,0.0083,0.0049,0.0834,0.0460,0.0012,0.0008,0.0000,0.0000,0.0040,0.0025,0.0000,0.0000,0.0000,0.0000
site_5,1647,0.0038,0.0008,0.0024,0.0016,0.0030,0.0009,0.0011,0.0086,0.0154,0.0011,0.7977,0.0183,0.0056,0.0827,0.0476,0.0013,0.0021,0.0000,0.0000,0.0036,0.0025,0.0000,0.0000,0.0000,0.0000
site_6,1647,0.0079,0.0008,0.0038,0.0019,0.0073,0.0002,0.0012,0.0096,0.0187,0.0017,0.8185,0.0108,0.0055,0.0699,0.0372,0.0000,0.0000,0.0000,0.0000,0.0024,0.0025,0.0000,0.0000,0.0000,0.0000
site_7,1647,0.0084,0.0011,0.0009,0.0014,0.0009,0.0003,0.0003,0.0071,0.0100,0.0009,0.8290,0.0187,0.0056,0.0726,0.0348,0.0029,0.0000,0.0000,0.0000,0.0026,0.0023,0.0000,0.0000,0.0000,0.0000
site_8,1299,0.0405,0.0090,0.0062,0.0083,0.0128,0.0018,0.0063,0.0065,0.0098,0.0042,0.7211,0.0103,0.0087,0.1121,0.0423,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
site_9,1299,0.0186,0.0047,0.0069,0.0042,0.0098,0.0011,0.0055,0.0126,0.0151,0.0062,0.7940,0.0065,0.0039,0.0687,0.0283,0.0006,0.0005,0.0000,0.0000,0.0112,0.0014,0.0000,0.0000,0.0000,0.0000
site_10,1299,0.0164,0.0048,0.0065,0.0079,0.0111,0.0021,0.0051,0.0167,0.0250,0.0069,0.7635,0.0073,0.0026,0.0856,0.0275,0.0000,0.0000,0.0079,0.0031,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
site_11,1299,0.0297,0.0045,0.0049,0.0062,0.0168,0.0025,0.0076,0.0170,0.0239,0.0073,0.7515,0.0100,0.0054,0.0722,0.0266,0.0000,0.0000,0.0000,0.0000,0.0100,0.0039,0.0000,0.0000,0.0000,0.0000
site_12,1299,0.0110,0.0031,0.0041,0.0045,0.0066,0.0013,0.0028,0.0112,0.0162,0.0056,0.8139,0.0053,0.0045,0.0738,0.0257,0.0000,0.0000,0.0000,0.0000,0.0071,0.0034,0.0000,0.0000,0.0000,0.0000
site_13,1365,0.0111,0.0013,0.0053,0.0068,0.0020,0.0031,0.0049,0.0434,0.0656,0.0028,0.3721,0.1617,0.0481,0.0417,0.1244,0.0158,0.0648,0.0008,0.0032,0.0092,0.0117,0.0000,0.0000,0.0000,0.0000
